,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year
0,Japan,2019-03-10,0,0,20,0,0,33,0,0,0,0,0,53,0,1,0
1,Japan,2019-03-11,39,0,0,0,0,0,0,0,0,70,0,65,0,2,0
2,Japan,2019-03-12,20,0,0,0,0,33,0,0,0,50,0,93,29,3,0
3,Japan,2019-03-13,39,0,0,0,0,0,0,0,0,50,56,40,0,4,0
4,Japan,2019-03-14,39,0,20,0,0,67,0,0,0,25,0,14,0,5,0
5,Japan,2019-03-15,0,0,20,0,0,0,0,0,0,50,0,47,31,6,0
6,Japan,2019-03-16,62,0,41,0,0,0,0,0,0,50,0,42,31,7,0
7,Japan,2019-03-17,0,0,99,0,0,0,0,0,0,25,0,54,10,8,0
8,Japan,2019-03-18,20,0,20,0,0,33,49,0,0,25,0,79,50,9,0
9,Japan,2019-03-19,19,0,19,0,0,63,0,0,0,0,100,75,19,10,0
10,Japan,2019-03-20,20,0,20,0,0,68,49,0,0,25,0,33,10,11,0
11,Japan,2019-03-21,39,0,19,0,0,33,49,0,0,25,56,58,0,12,0
12,Japan,2019-03-22,0,0,20,0,0,0,0,0,0,0,0,53,50,13,0
13,Japan,2019-03-23,20,0,100,0,0,0,0,0,0,25,0,47,21,14,0
14,Japan,2019-03-24,0,0,19,0,0,32,0,0,44,45,0,36,19,15,0
15,Japan,2019-03-25,20,0,0,0,0,33,0,0,0,0,0,72,40,16,0
16,Japan,2019-03-26,20,0,0,0,0,0,0,0,0,0,0,60,19,17,0
17,Japan,2019-03-27,59,0,0,100,0,0,0,0,0,50,0,67,21,18,0
18,Japan,2019-03-28,58,0,19,0,0,0,49,0,0,45,0,39,19,19,0
19,Japan,2019-03-29,41,0,0,0,0,68,0,0,0,25,56,21,21,20,0
20,Japan,2019-03-30,41,0,20,0,0,68,0,0,0,75,56,54,0,21,0
21,Japan,2019-03-31,41,0,20,0,0,35,0,0,0,25,0,33,10,22,0
22,Japan,2019-04-01,19,0,19,0,0,0,0,0,0,0,56,51,48,23,0
23,Japan,2019-04-02,39,0,77,0,0,33,0,0,56,70,0,33,19,24,0
24,Japan,2019-04-03,59,0,59,0,0,33,0,0,0,25,56,46,0,25,0
25,Japan,2019-04-04,58,0,39,0,0,67,0,0,56,45,0,58,40,26,0
26,Japan,2019-04-05,39,0,39,0,0,33,0,0,0,45,56,53,10,27,0
27,Japan,2019-04-06,20,0,60,0,0,0,0,0,0,0,0,47,10,28,0
28,Japan,2019-04-07,39,0,0,0,0,67,0,0,0,25,56,53,10,29,0
29,Japan,2019-04-08,0,0,0,0,0,0,0,0,56,70,0,64,10,30,0
30,Japan,2019-04-09,0,0,0,0,0,32,93,0,44,20,0,88,37,31,0
31,Japan,2019-04-10,20,0,0,0,0,100,0,0,0,25,56,86,21,32,0
32,Japan,2019-04-11,20,0,40,0,0,35,0,0,0,100,56,54,21,33,0
33,Japan,2019-04-12,41,0,40,0,0,35,0,0,56,75,0,47,10,34,0
34,Japan,2019-04-13,41,0,20,0,0,0,51,0,0,0,0,42,31,35,0
35,Japan,2019-04-14,39,0,0,0,0,33,0,0,0,70,0,58,0,36,0
36,Japan,2019-04-15,41,0,39,0,0,33,100,0,0,50,0,86,40,37,0
37,Japan,2019-04-16,100,0,40,0,0,33,0,0,0,25,0,88,21,38,0
38,Japan,2019-04-17,20,0,39,0,0,68,0,0,56,70,0,100,100,39,0
39,Japan,2019-04-18,20,0,0,100,0,67,49,0,0,50,56,93,29,40,0
40,Japan,2019-04-19,41,0,20,0,0,0,49,0,0,75,56,54,21,41,0
41,Japan,2019-04-20,41,0,0,0,0,0,0,0,0,50,0,61,21,42,0
42,Japan,2019-04-21,38,0,37,0,0,98,0,0,0,0,0,44,19,43,0
43,Japan,2019-04-22,59,0,39,0,100,0,49,0,0,70,0,53,60,44,0
44,Japan,2019-04-23,0,0,57,0,0,67,0,0,0,45,0,65,19,45,0
45,Japan,2019-04-24,19,0,0,0,0,0,49,0,0,25,0,39,29,46,0
46,Japan,2019-04-25,39,0,0,0,0,0,49,0,56,25,0,51,19,47,0
47,Japan,2019-04-26,20,0,40,0,0,0,0,0,0,70,0,14,40,48,0
48,Japan,2019-04-27,0,0,19,0,0,33,0,0,0,70,0,44,10,49,0
49,Japan,2019-04-28,0,0,39,0,0,98,0,0,56,45,0,19,10,50,0
50,Japan,2019-04-29,57,0,0,0,0,32,0,0,100,45,0,32,29,51,0
51,Japan,2019-04-30,57,0,0,0,0,0,0,0,56,25,0,13,0,52,0
52,Japan,2019-05-01,19,0,0,0,0,0,49,0,0,0,0,25,19,53,0
53,Japan,2019-05-02,39,0,19,0,0,67,0,0,0,25,0,79,10,54,0
54,Japan,2019-05-03,0,0,40,0,0,33,0,0,0,0,0,26,21,55,0
55,Japan,2019-05-04,39,0,20,0,0,0,0,0,0,50,56,26,0,56,0
56,Japan,2019-05-05,0,0,20,0,0,35,0,0,0,25,0,47,10,57,0
57,Japan,2019-05-06,0,0,39,0,0,0,0,0,56,0,56,79,10,58,0
58,Japan,2019-05-07,20,0,80,0,0,35,0,0,0,0,0,54,40,59,0
59,Japan,2019-05-08,41,0,0,0,0,35,0,0,0,50,0,94,42,60,0
60,Japan,2019-05-09,20,0,40,0,0,35,0,0,0,50,0,68,0,61,0
61,Japan,2019-05-10,61,0,80,0,0,0,0,0,0,25,0,68,31,62,0
62,Japan,2019-05-11,41,0,20,0,0,35,0,0,56,25,56,49,21,63,0
63,Japan,2020-03-10,19,0,20,0,0,49,0,0,0,14,24,65,42,1,1
64,Japan,2020-03-11,39,0,22,0,0,0,50,0,69,32,29,68,0,2,1
65,Japan,2020-03-12,0,0,0,0,0,100,100,0,0,50,0,49,29,3,1
66,Japan,2020-03-13,20,0,44,0,0,25,50,0,0,0,0,68,29,4,1
67,Japan,2020-03-14,20,0,22,0,0,26,0,0,0,18,0,26,0,5,1
68,Japan,2020-03-15,20,0,44,0,0,78,0,0,0,18,0,51,29,6,1
69,Japan,2020-03-16,59,0,86,0,0,0,0,0,0,32,0,55,29,7,1
70,Japan,2020-03-17,20,0,44,0,0,25,50,0,0,50,0,74,45,8,1
71,Japan,2020-03-18,40,0,66,0,0,0,0,0,0,100,29,81,58,9,1
72,Japan,2020-03-19,39,0,22,0,0,0,0,0,69,50,29,61,45,10,1
73,Japan,2020-03-20,20,0,22,0,0,0,0,0,0,32,0,76,29,11,1
74,Japan,2020-03-21,20,0,0,0,0,0,53,0,0,36,29,7,32,12,1
75,Japan,2020-03-22,0,0,22,0,0,76,0,0,0,68,0,76,16,13,1
76,Japan,2020-03-23,19,0,42,0,0,25,50,0,31,32,24,91,71,14,1
77,Japan,2020-03-24,0,0,0,54,0,25,50,0,0,50,0,74,29,15,1
78,Japan,2020-03-25,100,0,44,0,0,0,0,0,0,32,0,81,16,16,1
79,Japan,2020-03-26,40,0,22,0,0,0,0,0,38,50,0,76,74,17,1
80,Japan,2020-03-27,57,0,42,0,0,0,50,0,69,0,0,49,29,18,1
81,Japan,2020-03-28,0,0,22,0,0,25,0,0,38,32,0,57,0,19,1
82,Japan,2020-03-29,20,0,86,0,0,25,50,0,0,50,29,43,16,20,1
83,Japan,2020-03-30,57,0,42,50,0,0,0,0,31,46,53,54,100,21,1
84,Japan,2020-03-31,77,0,0,50,0,25,0,0,0,32,24,66,58,22,1
85,Japan,2020-04-01,0,0,42,0,0,25,0,0,100,32,24,30,87,23,1
86,Japan,2020-04-02,20,0,0,0,0,74,0,0,0,32,53,54,58,24,1
87,Japan,2020-04-03,0,0,42,0,0,25,100,0,0,32,0,73,29,25,1
88,Japan,2020-04-04,20,0,0,0,0,51,0,0,0,18,0,19,0,26,1
89,Japan,2020-04-05,19,0,62,0,0,25,0,0,0,0,24,66,42,27,1
90,Japan,2020-04-06,0,0,0,50,0,24,98,0,0,46,0,65,13,28,1
91,Japan,2020-04-07,19,0,0,0,0,24,48,0,0,46,0,88,97,29,1
92,Japan,2020-04-08,19,0,62,50,0,24,0,0,0,0,0,53,55,30,1
93,Japan,2020-04-09,76,0,62,0,0,49,0,0,0,14,24,82,0,31,1
94,Japan,2020-04-10,0,0,20,50,0,24,48,0,31,61,24,72,84,32,1
95,Japan,2020-04-11,39,0,62,50,0,0,0,0,31,0,53,65,13,33,1
96,Japan,2020-04-12,0,0,41,0,0,0,0,0,31,0,0,28,13,34,1
97,Japan,2020-04-13,0,0,20,0,0,46,93,0,31,46,0,69,42,35,1
98,Japan,2020-04-14,74,0,61,0,0,24,0,0,0,32,0,53,42,36,1
99,Japan,2020-04-15,37,0,61,0,0,0,0,0,0,14,0,47,42,37,1
100,Japan,2020-04-16,0,0,39,50,0,0,0,0,0,29,0,45,39,38,1
101,Japan,2020-04-17,54,0,78,0,0,0,0,0,0,0,24,57,0,39,1
102,Japan,2020-04-18,53,0,78,0,0,0,0,0,0,43,0,39,13,40,1
103,Japan,2020-04-19,19,0,20,50,0,71,0,0,31,0,0,23,0,41,1
104,Japan,2020-04-20,36,0,97,0,0,0,0,0,62,14,0,55,26,42,1
105,Japan,2020-04-21,53,0,58,0,100,0,0,0,0,29,24,73,52,43,1
106,Japan,2020-04-22,19,0,20,50,0,24,0,0,31,29,24,62,68,44,1
107,Japan,2020-04-23,0,0,19,0,0,23,45,0,31,43,47,65,39,45,1
108,Japan,2020-04-24,19,0,20,0,0,0,0,0,0,29,100,34,68,46,1
109,Japan,2020-04-25,74,0,0,100,0,24,0,0,31,0,0,41,13,47,1
110,Japan,2020-04-26,19,0,20,0,0,46,0,0,31,14,47,45,68,48,1
111,Japan,2020-04-27,0,0,39,0,0,90,0,0,31,29,24,66,52,49,1
112,Japan,2020-04-28,19,0,78,0,0,46,0,0,92,29,24,100,0,50,1
113,Japan,2020-04-29,0,0,100,0,0,0,48,0,0,29,0,28,81,51,1
114,Japan,2020-04-30,49,0,36,0,0,0,43,0,0,25,24,61,61,52,1
115,Japan,2020-05-01,0,0,59,50,0,0,45,0,31,29,0,89,26,53,1
116,Japan,2020-05-02,73,0,80,0,0,24,0,0,0,0,24,68,26,54,1
117,Japan,2020-05-03,0,0,39,0,0,23,0,0,0,14,0,39,55,55,1
118,Japan,2020-05-04,34,0,0,0,0,0,0,0,0,14,24,69,13,56,1
119,Japan,2020-05-05,34,0,19,0,0,21,0,0,0,29,0,64,26,57,1
120,Japan,2020-05-06,33,0,0,0,100,64,0,0,31,0,0,53,39,58,1
121,Japan,2020-05-07,34,0,19,46,0,0,0,0,0,0,0,72,39,59,1
122,Japan,2020-05-08,17,0,58,46,0,45,0,0,0,14,24,55,39,60,1
123,Japan,2020-05-09,36,0,0,46,0,0,0,0,0,14,0,39,26,61,1
124,Japan,2020-05-10,54,0,59,0,0,23,0,0,31,0,0,62,13,62,1
125,Japan,2020-05-11,0,0,78,0,0,0,45,0,0,29,24,50,68,63,1